Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0078,0.106613148,9.09E-02,8.75E-02,7.07E-02,0.122326105,0.13265456,0.207254393,0.182094082,0.11508181,0.149654275,0.171082358,6.12E-02,0.221332238,0.113370302,3.72E-02,3.31E-02,0.337339651,0.324396163,0.146423206,0.117300358,7.45E-02,0.195770253,0.205015602,0.191263146,0.118109326,0.160869063,7.99E-02,4.91E-02,4.42E-02,1.48E-02,0.261918747,2.24E-02,2.79E-03,2.35E-03,1.22E-03,0.65031816,6.35E-02,6.01E-02,7.45E-02,2.48E-02,1.68E-02,0.261377464,0.498904843,3743.905213
S0079,0.132889046,0.160208315,0.102392091,4.54E-02,0.113734663,0.175655398,0.192823727,7.70E-02,0.117754417,0.153526062,0.188129654,0.118119433,0.203168346,7.23E-02,1.08E-02,4.02E-03,0.116360968,0.262949376,0.187087307,0.212472487,0.221129861,6.69E-02,0.137931034,0.214380044,0.194717535,0.24079237,0.107410125,3.76E-02,7.91E-02,0.114205022,0.321786329,2.82E-02,4.10E-03,3.00E-03,2.65E-03,0.446935263,9.60E-02,0.36366776,0.319979278,0.186668969,2.24E-02,1.09E-02,3.45E-04,2965.014379
S0080,0.145510836,0.126024404,0.128164269,8.82E-02,0.129848844,0.141413222,0.163904571,7.69E-02,8.84E-02,0.210769814,0.216306409,9.19E-02,0.170420933,8.59E-02,1.57E-02,6.52E-03,0.194623103,0.310264986,0.188191407,0.172240803,0.134808335,0.149729869,0.259325958,0.204013378,0.148829431,0.156547466,5.62E-02,2.55E-02,7.93E-02,3.83E-02,0.321449711,3.34E-02,6.56E-03,1.32E-03,4.46E-03,0.515184629,5.36E-02,0.17545376,0.365024489,0.242005186,7.81E-02,5.10E-02,3.49E-02,2470.578203
S0081,0.119310606,0.100857627,7.72E-02,5.89E-02,0.13629854,0.162257815,0.202785231,0.142389175,0.113623053,0.187888017,0.19397915,8.91E-02,0.261098747,9.36E-02,3.34E-02,1.09E-02,0.269509866,0.299384681,0.178485041,0.155187778,9.74E-02,0.167197114,0.200891152,0.189391046,0.139910885,0.184553363,8.21E-02,3.60E-02,0.301590176,2.90E-02,0.241785738,3.54E-02,2.17E-03,2.17E-03,3.87E-03,0.383996181,9.36E-02,6.09E-02,5.77E-02,0.121195652,0.140295031,0.335326087,0.190993789,7537.88896
S0082,0.111088421,0.106187462,8.43E-02,4.92E-02,0.100265469,0.125587094,0.238309169,0.185215438,0.203741596,0.238526747,0.143525285,5.17E-02,0.109617071,6.17E-02,1.70E-02,3.60E-02,0.272101641,0.397564849,0.133403917,0.11011117,8.68E-02,0.311275807,0.273160402,0.170989942,0.108523028,9.79E-02,2.86E-02,9.53E-03,1.18E-02,4.29E-03,0.242647059,2.31E-02,5.92E-03,4.08E-04,1.84E-03,0.70996732,0.259005146,8.66E-02,0.183533448,0.13464837,0.117495712,0.120068611,9.86E-02,960.5601973
S0083,0.121557745,0.109938703,8.30E-02,6.56E-02,0.146076667,0.159433991,0.194870544,0.119514501,0.143696058,0.207447282,0.213097251,8.42E-02,0.209627191,0.106103746,2.24E-02,1.99E-02,0.269357298,0.298162561,0.171547781,0.14298323,0.118029367,0.183743882,0.19890877,0.20372302,0.12340528,0.172029206,7.96E-02,3.87E-02,0.129982616,6.06E-02,0.366159383,2.60E-02,2.26E-03,2.10E-03,1.83E-03,0.411021989,3.19E-02,2.77E-02,8.05E-02,0.179123506,0.212270916,0.343904382,0.124621514,6165.946566
S0084,0.120931103,0.117408838,9.34E-02,6.05E-02,0.135054195,0.155983597,0.198778267,0.11800439,0.107730305,0.237994602,0.202092988,0.10016805,0.192621072,5.89E-02,2.04E-02,8.43E-03,0.185162786,0.286059873,0.193377684,0.18234049,0.153059167,0.120804354,0.19483923,0.184910795,0.173672009,0.217971979,8.00E-02,2.78E-02,0.152524204,7.54E-02,0.282418199,3.28E-02,2.88E-03,2.13E-03,7.28E-03,0.444538973,2.20E-02,1.98E-02,7.22E-02,0.205050505,0.250721501,0.389466089,4.07E-02,6818.896918
S0085,9.22E-02,8.17E-02,8.91E-02,8.31E-02,0.146824261,0.14881493,0.197934681,0.160323484,0.176606627,0.19417951,0.19920998,7.93E-02,0.253903678,8.28E-02,2.50E-02,1.09E-02,0.278838592,0.294441473,0.179244393,0.157129825,9.03E-02,0.286325458,0.233193872,0.181257668,9.96E-02,0.118154078,5.33E-02,2.82E-02,0.171222395,1.48E-02,0.196292379,3.35E-02,1.07E-03,1.95E-03,4.73E-04,0.580702955,2.01E-02,4.09E-02,0.115754138,0.228267161,0.173631207,0.237295983,0.18404908,10557.04815
S0086,0.177501374,0.131803189,0.113386476,8.25E-02,0.150494777,0.125,0.136750962,8.25E-02,0.365075586,0.278419236,0.260683252,7.02E-02,0.101297465,4.50E-02,6.07E-03,1.26E-02,0.134705075,0.20877915,0.150891632,0.172290809,0.333333333,0.229355281,0.282853224,0.161591221,0.108916324,0.134156379,5.98E-02,2.33E-02,2.73E-02,1.03E-02,0.765409194,1.09E-02,4.40E-03,1.31E-03,7.56E-04,0.179619322,0.130382775,0.137559809,8.85E-02,0.113038278,0.121411483,0.325358852,8.37E-02,2094.407018
S0087,0.133388662,0.105858112,7.89E-02,6.91E-02,0.147039464,0.158200498,0.176630513,0.130841656,9.61E-02,0.197229801,0.215655824,8.14E-02,0.251878279,9.15E-02,0.032990556,1.59E-02,0.241676848,0.309254734,0.178604154,0.161117899,0.109346365,0.136530238,0.167837508,0.159896151,0.141493586,0.201053757,0.133246793,6.00E-02,0.161462954,3.55E-02,0.246487136,4.18E-02,2.89E-03,2.40E-03,3.12E-03,0.506367513,1.78E-02,1.84E-02,9.21E-02,0.113323533,9.70E-02,0.345449686,0.315916076,6256.72792
S0088,0.149539334,0.120216159,0.109984054,7.88E-02,0.14528703,0.135409284,0.16464387,9.62E-02,0.319502964,0.221452546,0.234235521,0.06948511,0.150896237,1.69E-02,1.16E-02,2.00E-03,7.98E-02,0.145707376,0.161225312,0.187424426,0.426037888,0.157799274,0.195082628,0.173720274,0.133615478,0.215638855,8.99E-02,3.43E-02,0.428691647,1.95E-02,0.486004075,1.48E-02,1.95E-03,1.06E-03,4.83E-03,4.31E-02,4.71E-02,2.82E-02,9.49E-02,0.155658812,0.133089944,0.375705277,0.16528377,8043.562891
S0089,0.126739063,7.22E-02,8.00E-02,9.13E-02,0.181625785,0.149602748,0.174305242,0.124310447,8.82E-02,0.183738273,0.251864325,7.31E-02,0.282078422,0.121818619,2.19E-02,2.51E-02,0.282961284,0.332664806,0.171171957,0.129752354,8.35E-02,0.15207534,0.181374259,0.162888036,0.138821067,0.201255668,0.116934077,4.65E-02,0.264337508,3.07E-02,0.207160948,3.59E-02,1.28E-03,2.29E-03,5.31E-03,0.45300628,3.57E-02,6.00E-02,6.10E-02,8.03E-02,6.88E-02,0.415690649,0.278490426,7547.025711
S0090,0.125962115,8.33E-02,6.60E-02,7.15E-02,0.165691109,0.157855925,0.187537448,0.142001198,7.10E-02,0.165373362,0.228660476,9.09E-02,0.273247678,0.118878005,3.04E-02,2.12E-02,0.285714286,0.318733154,0.179469901,0.143530997,7.26E-02,0.131626235,0.164982031,0.161500449,0.126123091,0.230458221,0.125336927,5.99E-02,0.201308876,1.86E-02,0.202691492,3.84E-02,1.38E-03,3.96E-03,6.59E-03,0.527099272,2.23E-02,1.96E-02,1.76E-02,7.02E-02,5.43E-02,0.291197882,0.524818001,7621.043926
